date,open,high,low,close,volume
2025-06-02,185.73,186.99,183.1601,186.99,4435629.0
2025-06-03,186.9,188.73,184.82,187.25,5335592.0
2025-06-04,188.41,190.18,187.27,187.34,4382380.0
2025-06-05,187.5,188.6,185.05,187.47,4418520.0
2025-06-06,188.49,190.49,188.3,189.83,3607927.0
2025-06-09,190.51,191.79,189.008,189.16,4661638.0
2025-06-10,189.04,191.88,188.8,189.5,4087503.0
2025-06-11,189.34,192.72,189.06,191.5,3907958.0
2025-06-12,192.2,193.5896,187.4078,192.42,5781429.0
2025-06-13,191.56,193.47,190.29,191.08,4965775.0
2025-06-16,190.9,191.6581,188.93,190.86,4203942.0
2025-06-17,189.16,190.61,185.03,185.48,4733885.0
2025-06-18,185.25,187.12,183.7,185.49,3573152.0
2025-06-20,186.09,187.1,184.16,185.3,12158103.0
2025-06-23,184.49,185.8,182.3,183.76,5157855.0
2025-06-24,184.52,186.1399,183.19,185.55,4074609.0
2025-06-25,185.3,187.09,184.64,185.39,4471108.0
2025-06-26,186.53,188.99,185.79,186.79,5734014.0
2025-06-27,187.9,188.0,181.73,182.31,29264650.0
2025-06-30,182.43,186.2499,181.75,185.62,6483021.0
2025-07-01,185.01,191.76,184.385,189.99,5937604.0
2025-07-02,189.7,192.59,189.53,190.75,4658511.0
2025-07-03,191.15,191.465,188.871,189.28,3706217.0
2025-07-07,189.44,191.39,186.825,187.63,11049426.0
2025-07-08,186.79,193.0,186.67,189.77,7106896.0
2025-07-09,188.5,191.0921,188.32,190.62,5594464.0
2025-07-10,190.5,197.5,189.56,195.0,6049615.0
2025-07-11,193.89,194.0,191.16,192.45,4990981.0
2025-07-14,191.72,192.665,190.04,191.52,4072779.0
2025-07-15,190.21,190.67,185.01,186.39,6729235.0
2025-07-16,186.92,191.385,186.5,190.58,6202725.0
2025-07-17,189.0,192.12,188.2609,191.4,4853051.0
2025-07-18,191.505,192.34,188.57,189.26,5332163.0
2025-07-21,189.62,189.9,184.63,184.85,4954794.0
2025-07-22,184.94,188.1992,184.9,187.11,4432061.0
2025-07-23,187.045,190.8,186.77,190.55,4344466.0
2025-07-24,190.76,192.24,189.99,190.83,3463089.0
2025-07-25,191.4,191.4,188.53,190.28,3786776.0
2025-07-28,191.21,191.21,187.64,188.52,3776900.0
2025-07-29,189.15,192.49,187.86,191.22,6715496.0
2025-07-30,191.77,192.7,188.01,189.31,5008390.0
2025-07-31,197.06,198.8256,187.62,189.02,10347929.0
2025-08-01,189.92,197.06,189.785,195.22,8081951.0
2025-08-04,194.81,197.37,193.72,197.19,4217462.0
2025-08-05,197.55,199.89,196.48,198.55,4153422.0
2025-08-06,197.23,198.05,194.67,196.3,4057267.0
2025-08-07,197.05,199.83,196.5,198.86,4683382.0
2025-08-08,199.08,200.33,197.14,198.05,4101771.0
2025-08-11,198.18,199.43,196.89,198.64,6068073.0
