date,open,high,low,close,volume
2025-06-02,285.64,289.45,284.775,288.47,2394373.0
2025-06-03,285.52,291.76,283.04,289.57,2320446.0
2025-06-04,290.19,293.21,286.89,287.01,2338424.0
2025-06-05,286.33,291.3599,284.99,287.1,2522678.0
2025-06-06,289.8,293.57,289.01,290.33,1996270.0
2025-06-09,290.47,291.66,287.5391,289.98,1967217.0
2025-06-10,290.0,295.64,289.79,293.43,2441506.0
2025-06-11,293.21,294.665,291.15,291.81,1828333.0
2025-06-12,294.21,297.44,292.68,297.29,2160004.0
2025-06-13,294.73,299.49,294.07,295.22,2191296.0
2025-06-16,296.31,298.77,292.46,295.56,2047619.0
2025-06-17,294.41,295.8,289.625,290.05,2515461.0
2025-06-18,290.79,291.87,286.6,289.5,2026814.0
2025-06-20,292.17,294.55,288.54,289.33,6801395.0
2025-06-23,290.075,290.66,267.83,272.44,5764884.0
2025-06-24,273.13,280.01,269.01,277.49,3687106.0
2025-06-25,275.8,280.54,273.13,280.35,2740255.0
2025-06-26,280.0,286.17,277.75,279.11,2998396.0
2025-06-27,278.57,281.32,275.7,277.13,2894455.0
2025-06-30,278.85,280.04,276.58,279.21,2963945.0
2025-07-01,280.01,293.98,278.98,290.52,3502984.0
2025-07-02,291.03,297.91,289.5,296.85,2287002.0
2025-07-03,297.0,298.99,295.51,298.24,1518529.0
2025-07-07,297.88,298.0,291.38,292.95,2144498.0
2025-07-08,291.96,298.68,291.2514,297.0,1534162.0
2025-07-09,298.51,301.66,291.77,296.52,2098070.0
2025-07-10,296.19,302.38,295.165,300.37,1925839.0
2025-07-11,298.23,299.91,294.0,295.27,1619942.0
2025-07-14,293.86,297.14,292.84,297.03,1202396.0
2025-07-15,297.19,297.53,291.94,292.51,1593010.0
2025-07-16,292.51,299.34,292.33,299.02,1881075.0
2025-07-17,297.59,299.95,296.28,298.25,1725609.0
2025-07-18,300.93,301.0,293.75,294.76,1967676.0
2025-07-21,294.75,297.0932,293.6,295.87,2025210.0
2025-07-22,296.465,306.8,295.86,305.69,2520791.0
2025-07-23,307.81,309.49,305.99,309.22,1782753.0
2025-07-24,309.23,311.28,307.35,308.55,1531263.0
2025-07-25,308.58,309.03,304.45,306.58,1451453.0
2025-07-28,305.815,306.0,300.1,301.29,1948079.0
2025-07-29,301.115,304.07,297.78,303.56,1406569.0
2025-07-30,304.33,305.5699,299.66,301.37,1550405.0
2025-07-31,298.44,302.96,293.63,295.1,2252661.0
2025-08-01,297.06,298.52,292.59,296.88,2411088.0
2025-08-04,297.3,302.33,296.295,301.94,2316346.0
2025-08-05,300.73,302.1,297.02,300.08,2664113.0
2025-08-06,295.51,298.54,281.65,284.67,4576216.0
2025-08-07,287.35,289.25,281.69,284.7,2588880.0
2025-08-08,283.49,288.4925,283.49,288.23,1803383.0
2025-08-11,289.74,291.735,284.72,285.09,1856770.0
2025-08-12,285.48,286.26,282.6,284.98,2200356.0
2025-08-13,285.32,289.58,284.69,289.33,1785036.0
2025-08-14,288.88,291.54,287.41,290.29,1932645.0
2025-08-15,292.03,296.99,290.58,296.47,2168335.0
2025-08-18,296.93,298.14,292.2975,292.62,1744072.0
2025-08-19,292.41,296.99,292.11,295.55,1858568.0
2025-08-20,296.25,301.47,295.8,296.45,1723712.0
2025-08-21,295.9,299.9,294.49,295.76,1843705.0
2025-08-22,295.49,297.8851,293.3501,293.72,1644256.0
