date,open,high,low,close,volume
2025-06-02,245.85,248.1,244.51,247.48,5450779.0
2025-06-03,247.5,250.5,244.18,248.87,6456191.0
2025-06-04,249.98,253.0635,249.72,250.88,5811524.0
2025-06-05,252.48,253.01,250.11,251.92,4190991.0
2025-06-06,253.0,257.47,252.07,255.63,5796716.0
2025-06-09,254.02,255.3199,251.14,251.41,5771646.0
2025-06-10,250.78,251.25,239.75,242.0,11230947.0
2025-06-11,242.64,246.96,238.51,245.52,6940798.0
2025-06-12,240.0,243.43,238.6801,239.99,8946617.0
2025-06-13,235.0,238.0,233.7,236.6,7420262.0
2025-06-16,237.6,239.94,236.07,236.54,4505620.0
2025-06-17,236.73,238.97,234.88,235.75,5614975.0
2025-06-18,235.96,239.52,232.24,235.89,7761472.0
2025-06-20,239.72,240.8,236.51,239.37,9142146.0
2025-06-23,239.24,248.46,238.62,247.81,8052020.0
2025-06-24,248.38,249.39,245.57,248.75,5255728.0
2025-06-25,250.08,250.9941,248.4767,249.9,5197370.0
2025-06-26,251.18,255.48,250.0,251.0,6790286.0
2025-06-27,251.85,260.55,251.7801,254.51,26988001.0
2025-06-30,256.305,257.89,253.87,257.39,8135756.0
2025-07-01,255.75,255.75,247.11,249.02,7178305.0
2025-07-02,248.0,249.1267,243.66,244.75,6228633.0
2025-07-03,245.55,248.7,245.0,246.88,3089499.0
2025-07-07,247.52,249.44,246.48,248.65,5336401.0
2025-07-08,248.0,249.46,243.34,247.05,5994453.0
2025-07-09,248.99,251.72,246.8174,250.33,5589463.0
2025-07-10,250.61,252.68,246.75,252.57,5463532.0
2025-07-11,251.5,256.88,251.4,255.42,7867216.0
2025-07-14,256.19,262.46,256.0,262.34,7502195.0
2025-07-15,263.915,265.06,261.735,264.67,9392434.0
2025-07-16,264.0,266.86,262.0342,266.18,11912881.0
2025-07-17,269.8,272.8,258.16,260.28,16260190.0
2025-07-18,265.4,269.6959,262.555,263.27,8619762.0
2025-07-21,263.69,266.25,259.58,262.86,5208459.0
2025-07-22,260.73,261.5,254.66,259.0,4751253.0
2025-07-23,260.53,263.73,259.95,263.18,4689791.0
2025-07-24,263.56,269.84,263.18,268.01,5206657.0
2025-07-25,268.83,272.83,268.255,271.59,4598420.0
2025-07-28,273.355,273.4399,267.44,270.61,5006423.0
2025-07-29,272.73,273.8,269.115,270.31,4125295.0
2025-07-30,270.915,273.63,269.51,273.55,4696997.0
2025-07-31,273.065,274.94,269.875,271.08,4523978.0
2025-08-01,265.53,270.55,261.71,269.38,4416280.0
2025-08-04,270.505,276.845,270.22,276.23,3744039.0
2025-08-05,276.26,277.0,268.62,272.12,4000620.0
2025-08-06,273.5,275.05,269.91,272.28,3576773.0
2025-08-07,271.95,272.87,268.725,272.02,3050407.0
2025-08-08,273.58,277.18,272.58,275.01,4467280.0
2025-08-11,275.15,276.41,272.55,275.2,3360062.0
2025-08-12,276.04,280.54,275.7,279.63,3631266.0
2025-08-13,281.0,281.5,264.08,268.86,7599558.0
2025-08-14,272.99,274.16,269.48,269.7,4481668.0
2025-08-15,268.92,269.7,265.205,267.85,5203291.0
2025-08-18,267.9,269.61,266.505,268.45,2697038.0
2025-08-19,266.31,268.9599,263.8,265.93,3404893.0
2025-08-20,265.46,268.94,263.81,266.44,3854703.0
2025-08-21,267.14,271.92,266.14,268.71,3266386.0
2025-08-22,269.73,272.35,266.37,266.53,5229263.0
2025-08-25,267.0,271.92,266.56,266.61,4301594.0
2025-08-26,267.98,274.7,267.42,273.94,4693487.0
2025-08-27,273.7,274.6999,272.23,273.35,2705695.0
2025-08-28,272.5,276.67,272.13,276.0,3388070.0
2025-08-29,276.0,276.28,271.64,275.2,5037451.0
2025-09-02,273.9,275.58,268.01,275.39,4081171.0
2025-09-03,275.91,277.32,273.6,275.93,4120447.0
2025-09-04,275.83,282.36,275.83,282.27,4591250.0
2025-09-05,282.27,284.41,271.8562,279.23,4952558.0
2025-09-08,280.0,282.92,275.49,276.05,5008604.0
2025-09-09,275.38,277.0777,273.3,276.24,3074014.0
2025-09-10,277.55,283.49,276.89,283.41,3206420.0
2025-09-11,283.73,286.91,279.59,281.56,4016758.0
2025-09-12,281.56,283.53,280.7,281.69,3249900.0
2025-09-15,281.99,287.1099,281.62,286.78,3716566.0
2025-09-16,289.87,294.74,288.84,292.97,5538360.0
2025-09-17,292.09,292.7084,286.5,289.5,4149556.0
2025-09-18,290.71,297.65,290.2101,297.09,3977888.0
2025-09-19,297.79,303.03,295.3625,301.14,9652627.0
2025-09-22,300.1,301.15,296.345,301.02,4192828.0
2025-09-23,301.65,305.775,301.1501,305.63,3637763.0
2025-09-24,306.9,307.25,298.79,300.3,5645457.0
2025-09-25,298.5,300.24,294.87,297.18,4504487.0
2025-09-26,299.93,302.0,292.75,294.98,3817600.0
2025-09-29,296.36,297.93,289.6616,293.63,3861242.0
2025-09-30,294.71,301.47,293.91,300.82,4112357.0
