date,open,high,low,close,volume
2025-06-02,109.24,110.41,105.69,108.91,9987427.0
2025-06-03,108.4,109.77,107.645,109.33,9883951.0
2025-06-04,109.52,111.29,108.89,109.02,7963318.0
2025-06-05,108.97,112.53,108.31,110.46,10821461.0
2025-06-06,111.69,112.76,110.77,112.46,5263662.0
2025-06-09,112.598,113.5199,111.77,113.0,6152957.0
2025-06-10,109.892,112.2367,109.76,110.09,8871249.0
2025-06-11,109.82,111.04,109.02,109.3,6413846.0
2025-06-12,110.59,112.09,108.8966,112.05,7025990.0
2025-06-13,110.51,111.37,109.48,109.98,8150114.0
2025-06-16,110.17,111.47,108.8,110.83,4740807.0
2025-06-17,110.29,110.69,107.74,108.0,7460755.0
2025-06-18,108.61,111.78,107.19,108.0,12894802.0
2025-06-20,108.85,110.16,107.3,108.5,23268120.0
2025-06-23,108.82,109.44,105.3501,106.19,8173378.0
2025-06-24,106.33,107.6,106.0,107.2,7917040.0
2025-06-25,106.84,106.92,104.46,105.93,6053550.0
2025-06-26,106.19,107.86,105.79,107.62,6311655.0
2025-06-27,108.26,112.0,106.84,110.67,19545205.0
2025-06-30,110.61,111.44,109.88,110.87,6602335.0
2025-07-01,111.5,112.565,110.8,111.73,7677243.0
2025-07-02,111.79,112.83,111.09,111.51,5991191.0
2025-07-03,111.55,112.08,110.61,111.75,4039811.0
2025-07-07,111.995,112.58,110.75,111.78,6956611.0
2025-07-08,111.76,113.15,110.89,111.06,4682558.0
2025-07-09,112.43,113.67,111.83,113.24,5234878.0
2025-07-10,113.07,114.87,112.8301,114.54,6097178.0
2025-07-11,113.535,113.81,109.45,109.64,6116243.0
2025-07-14,109.665,112.185,109.66,112.09,6380737.0
2025-07-15,110.94,111.49,108.725,109.06,4938399.0
2025-07-16,108.58,110.72,108.57,109.85,3958563.0
2025-07-17,109.21,110.15,108.16,108.8,4275967.0
2025-07-18,109.85,110.9,108.04,108.22,6628093.0
2025-07-21,108.38,109.38,107.75,108.28,3573799.0
2025-07-22,108.4,110.97,108.06,110.17,4487918.0
2025-07-23,110.62,113.89,110.38,113.56,5228530.0
2025-07-24,113.58,113.7,112.51,113.2,4103714.0
2025-07-25,114.555,117.6,114.13,116.2,7680841.0
2025-07-28,113.39,114.75,112.68,113.03,5370832.0
2025-07-29,112.95,114.405,112.3,114.23,6278916.0
2025-07-30,114.27,115.75,113.53,114.76,5826864.0
2025-07-31,113.855,115.54,111.8,112.29,7883479.0
2025-08-01,112.26,113.81,111.85,113.18,5016408.0
2025-08-04,113.45,114.57,113.23,114.51,5634228.0
2025-08-05,113.99,114.5,112.31,112.46,6132132.0
2025-08-06,111.97,112.25,110.19,110.28,7446744.0
2025-08-07,110.58,110.67,108.5351,110.28,9190269.0
2025-08-08,115.22,121.38,114.8,119.41,13115287.0
2025-08-11,119.23,120.61,118.1708,120.47,7952989.0
2025-08-12,120.56,121.83,119.26,120.02,6085102.0
2025-08-13,120.55,121.12,119.5,120.14,4928534.0
2025-08-14,119.8,120.5,118.12,119.02,5461711.0
2025-08-15,118.545,119.0199,117.67,118.37,8859872.0
2025-08-18,118.305,119.37,117.845,117.99,4476399.0
2025-08-19,118.22,119.53,117.07,117.98,6484493.0
2025-08-20,118.57,120.8899,118.46,118.73,5639523.0
2025-08-21,115.5,117.94,114.56,116.14,6063238.0
2025-08-22,116.9,118.13,114.52,114.77,5503422.0
2025-08-25,114.91,115.5,113.81,114.15,3812336.0
2025-08-26,114.35,115.24,113.887,114.75,5932815.0
2025-08-27,114.02,115.22,113.76,113.92,4663703.0
2025-08-28,113.63,113.85,112.32,112.56,4148684.0
2025-08-29,112.76,113.24,112.145,112.97,4630506.0
2025-09-02,112.9,113.3,111.28,112.71,4409744.0
2025-09-03,112.63,113.4,112.15,112.99,4546462.0
2025-09-04,113.15,113.825,112.28,112.77,4024816.0
2025-09-05,112.41,115.81,112.25,115.05,6953995.0
2025-09-08,114.68,116.18,113.82,115.88,16944960.0
2025-09-09,115.88,116.25,113.87,115.76,6217193.0
2025-09-10,115.54,115.85,114.5,115.25,7839719.0
2025-09-11,115.4,118.11,115.22,117.86,5457036.0
2025-09-12,117.49,117.63,114.175,114.55,6468072.0
2025-09-15,113.67,113.67,111.325,112.54,6169174.0
2025-09-16,113.22,114.13,110.15,110.86,5458754.0
2025-09-17,111.37,112.46,111.21,112.26,6539587.0
2025-09-18,111.395,113.75,111.26,113.62,7115564.0
2025-09-19,114.31,115.07,113.09,114.09,12580503.0
2025-09-22,113.45,114.05,112.15,112.49,7261289.0
2025-09-23,111.88,115.57,111.7501,114.4,7281771.0
2025-09-24,114.3,114.57,111.96,113.67,5222766.0
2025-09-25,114.52,115.25,110.81,110.99,8355787.0
2025-09-26,111.35,112.235,110.7,112.1,5074303.0
2025-09-29,112.55,112.7,110.82,112.62,7122222.0
2025-09-30,113.03,114.86,110.92,111.0,10301730.0
2025-10-01,112.0,113.07,110.2015,111.15,13650010.0
2025-10-02,110.2,111.7,108.4601,110.56,10135000.0
2025-10-03,110.74,113.59,109.66,112.69,8089076.0
2025-10-06,115.67,117.0,112.41,113.58,9090734.0
2025-10-07,113.6,116.91,112.82,116.78,8712575.0
2025-10-08,117.11,118.35,115.755,118.25,6532171.0
2025-10-09,118.75,118.86,116.5104,116.74,5019053.0
2025-10-10,117.65,119.33,116.5,117.18,7896618.0
2025-10-13,116.34,118.78,115.8,118.21,5124618.0
2025-10-14,117.515,119.3347,116.625,118.48,6311218.0
2025-10-15,118.08,119.07,117.07,118.3,4552240.0
2025-10-16,117.98,121.57,117.34,117.85,6742969.0
2025-10-17,119.64,124.11,119.09,122.81,15845861.0
2025-10-20,122.59,123.99,122.2,123.11,8149673.0
2025-10-21,123.27,124.61,121.92,124.08,5559031.0
2025-10-22,124.24,124.45,121.3,121.46,5436308.0
2025-10-23,121.75,121.88,119.45,120.74,4635345.0
2025-10-24,120.415,121.145,118.705,120.94,5438759.0
2025-10-27,121.49,121.58,119.5,120.47,4752728.0
2025-10-28,119.77,120.28,117.79,117.88,4723541.0
2025-10-29,117.12,118.96,116.7,118.5,6032321.0
2025-10-30,118.8,120.52,117.5206,118.44,8349594.0
2025-10-31,116.06,121.91,114.02,119.79,10030185.0
2025-11-03,119.82,122.315,119.1,122.05,8294114.0
2025-11-04,123.15,123.5744,119.24,123.0,8467179.0
2025-11-05,122.2,123.73,121.71,122.58,6417503.0
2025-11-06,121.93,124.1,121.719,123.4,6087496.0
2025-11-07,123.89,124.0,117.54,118.84,9065913.0
2025-11-10,119.395,119.85,117.13,118.15,7566149.0
2025-11-11,118.61,122.75,118.5825,122.56,6281101.0
2025-11-12,122.4,124.865,121.8,123.4,6004794.0
2025-11-13,123.75,127.68,123.6,125.2,9253823.0
2025-11-14,124.81,125.64,122.5,125.02,6599516.0
2025-11-17,125.23,126.53,123.91,124.09,5758104.0
2025-11-18,124.54,127.36,123.32,127.18,8179017.0
2025-11-19,127.09,128.1,125.86,128.07,6881858.0
2025-11-20,128.34,128.7,124.54,124.99,9924201.0
2025-11-21,125.34,127.98,125.07,126.64,10379347.0
2025-11-24,126.96,128.25,124.49,125.27,9553634.0
2025-11-25,124.78,127.61,124.7,127.12,7589832.0
2025-11-26,126.94,128.16,126.36,127.51,5825580.0
2025-11-28,127.1,127.7999,124.9,125.84,3063631.0
2025-12-01,125.885,126.23,123.62,124.33,4960221.0
2025-12-02,124.4,125.08,123.39,123.91,5109934.0
2025-12-03,124.21,125.6,123.88,125.0,5306324.0
2025-12-04,124.81,124.96,122.4,122.62,5234244.0
2025-12-05,122.29,122.53,120.38,121.22,10417014.0
2025-12-08,120.98,122.37,120.54,121.19,8870661.0
2025-12-09,121.07,122.25,119.02,119.36,7256046.0
2025-12-10,119.485,121.41,118.775,121.34,8530529.0
2025-12-11,122.25,123.74,121.0,123.21,4892293.0
2025-12-12,122.86,123.625,119.53,120.4,6767829.0
2025-12-15,122.0,122.98,119.39,119.78,7805068.0
2025-12-16,120.53,121.64,118.17,118.78,6417477.0
2025-12-17,119.27,122.07,118.575,121.36,7959025.0
2025-12-18,121.24,122.29,120.93,121.47,5795444.0
2025-12-19,121.19,126.2699,121.0,124.29,24394985.0
2025-12-22,124.075,124.9,122.84,124.16,6751351.0
2025-12-23,124.17,127.41,124.0001,125.19,5712815.0
2025-12-24,125.71,126.25,125.12,125.67,1606328.0
2025-12-26,125.52,125.77,124.185,124.7,2073829.0
2025-12-29,124.82,125.27,124.2,124.91,3061395.0
2025-12-30,124.56,125.0,122.95,123.18,3256025.0
2025-12-31,123.235,123.6,122.38,122.74,3150182.0
