date,open,high,low,close,volume
2025-06-02,167.84,169.87,167.39,169.03,38612272.0
2025-06-03,167.49,168.475,165.28,166.18,45084903.0
2025-06-04,166.735,168.215,166.36,168.05,26900838.0
2025-06-05,170.34,170.93,167.59,168.21,36444564.0
2025-06-06,170.83,174.5,170.83,173.68,35731832.0
2025-06-09,174.54,176.47,174.37,176.09,28935906.0
2025-06-10,176.2,181.105,174.91,178.6,61766121.0
2025-06-11,179.77,180.37,176.75,177.35,31646757.0
2025-06-12,176.18,176.72,174.745,175.7,20941873.0
2025-06-13,172.44,177.13,172.385,174.67,27663107.0
2025-06-16,174.73,176.94,174.65,176.77,27389208.0
2025-06-17,175.7,177.3648,174.58,175.95,24973043.0
2025-06-18,176.01,176.56,173.2,173.335,28707524.0
2025-06-20,173.945,174.34,165.46,166.64,75659917.0
2025-06-23,166.27,167.34,162.0,165.19,57670985.0
2025-06-24,166.92,168.22,166.13,166.77,40524312.0
2025-06-25,167.63,172.36,167.55,170.68,35478989.0
2025-06-26,172.43,173.69,169.94,173.54,31796690.0
2025-06-27,173.54,178.68,171.73,178.53,108140200.0
2025-06-30,180.78,181.23,174.58,176.23,63378856.0
2025-07-01,175.735,176.09,173.53,175.84,35904526.0
2025-07-02,175.54,178.86,175.07,178.64,29128947.0
2025-07-03,178.5,179.67,177.05,179.53,21689729.0
2025-07-07,179.06,179.297,175.68,176.79,34175648.0
2025-07-08,177.85,177.95,172.81,174.36,40442535.0
2025-07-09,175.25,179.44,172.77,176.62,43025594.0
2025-07-10,175.63,178.429,174.38,177.62,29252386.0
2025-07-11,176.785,181.43,176.48,180.19,34282922.0
2025-07-14,181.01,183.67,179.68,181.56,32536632.0
2025-07-15,182.81,184.22,181.6,182.0,33448251.0
2025-07-16,183.235,184.327,182.03,182.97,33104193.0
2025-07-17,182.14,184.06,180.48,183.58,31992565.0
2025-07-18,185.4,186.42,183.71,185.06,34014509.0
2025-07-21,186.25,190.285,186.15,190.1,45803129.0
2025-07-22,191.495,191.645,187.46,191.34,44660215.0
2025-07-23,191.5,192.53,189.18,190.23,58681948.0
2025-07-24,197.03,197.95,191.0,192.17,74881687.0
2025-07-25,191.98,194.33,191.26,193.18,39785863.0
2025-07-28,193.65,194.05,190.84,192.58,38139504.0
2025-07-29,192.43,195.92,192.08,195.75,41389153.0
2025-07-30,195.6,197.5999,194.685,196.53,32445405.0
2025-07-31,195.71,195.99,191.09,191.9,51329163.0
2025-08-01,189.025,190.83,187.82,189.13,34832181.0
2025-08-04,190.29,195.27,190.12,195.04,31547350.0
2025-08-05,194.71,197.8599,193.885,194.67,31602340.0
2025-08-06,194.5,196.63,193.67,196.09,21562908.0
2025-08-07,197.06,197.54,194.33,196.52,26321811.0
2025-08-08,197.22,202.61,197.17,201.42,39161826.0
