date,open,high,low,close,volume
2025-06-02,598.6,599.17,592.1701,598.72,1221389.0
2025-06-03,600.0,606.32,593.73,603.83,1730268.0
2025-06-04,605.48,606.33,598.72,599.21,1295143.0
2025-06-05,600.0,609.715,592.9,605.88,2088546.0
2025-06-06,613.0,621.375,610.0,614.0,1676062.0
2025-06-09,614.75,619.1,611.01,613.52,1610717.0
2025-06-10,613.0,616.55,609.3113,614.87,1376484.0
2025-06-11,617.18,629.84,614.59,624.17,2063555.0
2025-06-12,621.0,626.01,615.8,625.11,1634667.0
2025-06-13,616.05,620.1236,609.59,613.54,1675102.0
2025-06-16,619.0,632.27,618.0,627.85,1870396.0
2025-06-17,624.7,631.67,623.0,624.64,1479255.0
2025-06-18,624.51,639.88,623.645,635.24,2423106.0
2025-06-20,638.83,642.64,636.69,640.8,4115367.0
2025-06-23,639.26,647.42,630.01,646.88,2020840.0
2025-06-24,654.45,663.77,653.235,662.11,2307810.0
2025-06-25,664.6,670.12,660.785,669.87,1566692.0
2025-06-26,670.62,689.33,670.51,687.16,2849509.0
2025-06-27,691.0,694.1971,685.39,690.81,3650514.0
2025-06-30,714.265,714.3,702.95,707.75,3976416.0
2025-07-01,708.0,713.01,700.61,706.46,3300971.0
2025-07-02,708.8,718.73,705.08,715.89,2906509.0
2025-07-03,715.91,726.0,713.4022,723.68,1502041.0
2025-07-07,721.7,723.97,706.34,710.93,2863715.0
2025-07-08,710.72,711.185,693.77,697.28,3100706.0
2025-07-09,704.34,704.34,694.71,696.56,1763664.0
2025-07-10,696.74,710.375,696.4501,709.12,1733788.0
2025-07-11,703.59,706.0,700.23,704.95,1682060.0
2025-07-14,704.74,713.43,702.125,713.3,1909262.0
2025-07-15,713.3,714.6861,700.04,702.51,1981228.0
2025-07-16,708.5,709.7809,691.3,708.82,3323219.0
2025-07-17,706.275,717.45,704.28,705.84,2046053.0
2025-07-18,707.06,710.29,698.3938,708.26,1925396.0
2025-07-21,709.14,712.76,704.35,706.0,2006467.0
2025-07-22,703.66,706.49,691.88,700.41,1978860.0
2025-07-23,702.0,719.01,701.5,717.52,2395697.0
2025-07-24,718.93,725.7686,714.73,719.18,1974746.0
2025-07-25,720.76,729.89,718.3478,728.98,1851667.0
2025-07-28,728.0,732.52,722.1701,723.65,1465032.0
2025-07-29,726.85,734.1299,722.42,731.98,2136342.0
2025-07-30,731.14,737.88,723.18,730.75,1816238.0
2025-07-31,726.59,734.04,720.44,723.59,2358080.0
2025-08-01,710.51,714.52,694.05,709.57,2999098.0
2025-08-04,715.2,726.79,715.2,726.03,1753725.0
2025-08-05,728.0,729.4,714.55,720.91,1977330.0
2025-08-06,724.5,728.3,722.0,724.74,1477307.0
2025-08-07,730.62,732.94,717.6108,719.74,1400392.0
2025-08-08,725.86,728.0,718.65,721.27,1275528.0
2025-08-11,722.2,723.84,715.74,719.24,1273485.0
2025-08-12,725.28,748.135,724.35,743.38,2418313.0
2025-08-13,745.78,748.91,732.615,744.69,1862990.0
2025-08-14,742.72,748.16,737.0,747.2,1371507.0
2025-08-15,749.0,749.05,729.18,730.72,1645865.0
2025-08-18,729.5,731.61,723.8702,730.96,1158015.0
2025-08-19,729.16,730.0,717.73,721.38,1856357.0
2025-08-20,721.195,722.25,705.55,720.68,1872699.0
2025-08-21,716.54,719.22,712.965,715.95,1162101.0
2025-08-22,720.14,744.835,718.5835,741.89,1948881.0
2025-08-25,741.89,746.5,738.33,738.79,1381285.0
2025-08-26,737.71,749.16,733.86,748.95,1511647.0
2025-08-27,745.97,753.0,745.02,749.67,1535102.0
2025-08-28,750.99,753.33,746.99,751.22,1411464.0
2025-08-29,746.71,748.9165,738.9,745.25,1467307.0
2025-09-02,736.385,736.385,721.1572,730.85,2296616.0
2025-09-03,728.56,732.02,722.3,730.56,1485765.0
2025-09-04,733.75,748.91,731.1701,748.9,1778153.0
2025-09-05,752.19,757.35,727.1525,738.21,1822767.0
2025-09-08,739.42,743.5432,733.57,741.85,1400067.0
2025-09-09,740.13,765.62,738.54,763.92,2611307.0
