date,open,high,low,close,volume
2025-06-02,365.15,368.04,361.835,367.96,2507113.0
2025-06-03,367.96,373.54,367.0,373.08,3359541.0
2025-06-04,373.08,375.37,371.66,372.4,2429139.0
2025-06-05,370.99,371.56,367.51,369.28,2324772.0
2025-06-06,371.51,372.65,365.965,367.33,2349978.0
2025-06-09,367.32,367.35,364.3631,365.2,2619747.0
2025-06-10,365.94,368.55,362.55,367.91,3014922.0
2025-06-11,369.14,369.14,359.31,360.46,3793526.0
2025-06-12,360.81,365.0718,358.51,363.16,2921924.0
2025-06-13,360.0,362.79,352.8,354.66,3364429.0
2025-06-16,355.88,357.105,351.9,353.56,3688615.0
2025-06-17,351.94,354.29,347.41,348.78,4230115.0
2025-06-18,350.08,350.9,345.8,347.03,4454226.0
2025-06-20,347.49,351.21,346.8159,349.62,8056469.0
2025-06-23,349.97,357.07,348.52,356.96,3862430.0
2025-06-24,356.67,361.71,355.78,360.42,4089980.0
2025-06-25,359.12,363.6,358.34,361.86,4159595.0
2025-06-26,363.215,365.23,360.6,363.5,3187863.0
2025-06-27,363.61,370.1532,363.0,368.74,5503743.0
2025-06-30,369.28,370.95,364.72,366.64,4601082.0
2025-07-01,364.34,379.69,362.95,373.16,5152607.0
2025-07-02,373.645,373.97,369.37,371.85,3011753.0
2025-07-03,371.81,373.18,368.33,371.68,2573629.0
2025-07-07,371.0,372.79,364.7262,367.64,3433082.0
2025-07-08,366.02,370.4,365.11,367.5,2531665.0
2025-07-09,367.51,371.07,364.7906,371.04,3384213.0
2025-07-10,369.0,377.9448,368.51,373.3,3703252.0
2025-07-11,370.36,371.8,367.105,370.07,3069180.0
2025-07-14,370.475,371.29,366.45,370.11,2481246.0
2025-07-15,369.975,370.75,358.52,358.64,3868709.0
2025-07-16,359.855,360.95,352.46,357.4,4260231.0
2025-07-17,356.54,360.32,354.66,359.04,3128898.0
2025-07-18,359.98,360.6,356.97,359.4,3361947.0
2025-07-21,360.72,365.78,359.84,364.04,3504271.0
2025-07-22,364.48,372.2,363.72,371.01,3095403.0
2025-07-23,371.695,377.88,371.55,376.35,3237986.0
2025-07-24,375.48,377.88,372.26,373.09,3087956.0
2025-07-25,374.66,375.991,373.05,375.34,2221069.0
2025-07-28,373.74,381.08,372.98,377.23,4062765.0
2025-07-29,377.0,379.73,374.77,377.34,2931556.0
2025-07-30,377.68,378.525,369.63,372.08,3110713.0
2025-07-31,369.17,372.81,366.84,367.51,3091551.0
2025-08-01,367.82,374.8,365.75,373.66,3008213.0
2025-08-04,374.84,381.895,373.69,380.82,2844503.0
