date,open,high,low,close,volume
2025-06-02,257.85,263.976,257.22,263.9,2831881.0
2025-06-03,263.35,265.56,262.58,265.2,2494922.0
2025-06-04,264.9,267.0,264.79,265.52,2588741.0
2025-06-05,265.2,267.51,265.1,266.86,2659478.0
2025-06-06,267.99,270.17,267.53,268.87,2495543.0
2025-06-09,268.1,273.47,266.71,272.08,4331464.0
2025-06-10,273.19,277.47,272.56,276.24,5163507.0
2025-06-11,276.7,281.75,275.11,281.52,4656034.0
2025-06-12,281.53,283.06,279.83,281.03,3418007.0
2025-06-13,278.205,279.84,275.83,277.22,3243824.0
2025-06-16,279.305,284.5,278.6657,281.83,3685321.0
2025-06-17,281.15,284.7899,281.0001,283.05,3069556.0
2025-06-18,285.0,286.91,282.94,283.21,3534110.0
2025-06-20,279.28,284.12,277.2,280.97,7676962.0
2025-06-23,281.65,289.58,280.21,289.18,3786159.0
2025-06-24,290.46,294.3399,288.41,293.79,4219120.0
2025-06-25,294.49,296.16,289.5,291.06,3862309.0
2025-06-26,291.8,292.91,290.165,291.93,3621110.0
2025-06-27,292.97,293.12,288.52,289.7,3562501.0
2025-06-30,290.93,294.81,290.0,294.78,3495386.0
2025-07-01,294.55,295.1081,290.08,291.2,3272797.0
2025-07-02,290.0,290.19,286.9,287.65,3257515.0
2025-07-03,287.94,292.32,287.9,291.97,1853289.0
2025-07-07,292.5,295.2199,290.3607,292.47,4488064.0
2025-07-08,293.1,295.61,289.49,290.42,2925329.0
2025-07-09,291.39,291.6,288.63,290.14,2971309.0
2025-07-10,288.9,288.9,282.21,287.43,3489068.0
2025-07-11,285.01,287.43,282.92,283.59,3790679.0
2025-07-14,282.83,284.925,281.71,283.79,2857401.0
2025-07-15,283.77,284.155,280.7301,282.7,2864106.0
2025-07-16,282.75,283.87,279.87,281.92,2804831.0
2025-07-17,281.5,283.4566,280.9,282.0,3337168.0
2025-07-18,283.38,287.16,282.22,285.87,4478165.0
2025-07-21,286.29,287.73,284.38,284.71,3051791.0
2025-07-22,284.74,284.88,281.25,281.96,4824219.0
2025-07-23,284.3,288.08,281.44,282.01,8105906.0
2025-07-24,261.25,262.0486,252.75,260.51,22647720.0
2025-07-25,260.02,260.8,256.35,259.72,7758653.0
2025-07-28,260.3,264.0,259.61,263.21,5192516.0
2025-07-29,264.3,265.7999,261.02,262.41,4627265.0
2025-07-30,261.6,262.0,258.9,260.26,3718290.0
2025-07-31,259.57,259.99,252.22,253.15,6739092.0
2025-08-01,251.405,251.4791,245.61,250.05,9683404.0
2025-08-04,251.05,252.08,248.11,251.98,5280588.0
2025-08-05,252.0,252.8,248.995,250.67,5823016.0
2025-08-06,251.53,254.32,249.28,252.28,3692105.0
2025-08-07,252.81,255.0,248.875,250.16,6251285.0
2025-08-08,248.88,249.48,241.65,242.27,6828390.0
2025-08-11,242.24,243.15,234.7,236.3,9381960.0
2025-08-12,236.53,237.96,233.36,234.77,8800597.0
2025-08-13,236.2,240.8411,236.2,240.07,5663562.0
2025-08-14,238.25,239.0,235.62,237.11,4556725.0
2025-08-15,237.61,240.62,236.77,239.72,4344322.0
2025-08-18,239.57,241.42,239.1158,239.45,3569594.0
2025-08-19,240.0,242.83,239.49,241.28,3328305.0
2025-08-20,242.11,242.88,240.34,242.55,3240064.0
2025-08-21,242.21,242.5,238.65,239.4,2991902.0
2025-08-22,240.74,243.68,240.22,242.09,3134882.0
2025-08-25,242.565,242.565,239.43,239.43,3513327.0
2025-08-26,241.02,244.98,240.38,242.63,5386582.0
2025-08-27,242.87,245.96,242.0,244.84,3698372.0
2025-08-28,245.43,245.88,243.36,245.73,2820817.0
2025-08-29,245.23,245.4599,241.72,243.49,2967558.0
2025-09-02,240.9,241.55,238.25,241.5,3469501.0
2025-09-03,240.02,244.25,239.41,244.1,3163225.0
2025-09-04,245.42,249.28,242.85,247.18,4765087.0
2025-09-05,248.23,249.03,245.45,248.53,3147478.0
2025-09-08,248.63,257.15,247.02,256.09,6940270.0
2025-09-09,256.12,260.66,254.88,259.11,4931105.0
2025-09-10,259.65,260.08,254.56,256.88,5185420.0
2025-09-11,257.56,258.545,255.655,257.01,3576048.0
2025-09-12,256.95,257.25,252.425,253.44,3433300.0
2025-09-15,254.02,259.05,254.0,256.24,4028365.0
2025-09-16,256.26,258.0,254.41,257.52,2719918.0
2025-09-17,257.495,260.9644,257.01,259.08,3974785.0
2025-09-18,258.86,265.23,256.8004,265.0,4988421.0
2025-09-19,266.05,267.87,263.64,266.4,9858112.0
2025-09-22,266.62,272.31,266.0,271.37,5030540.0
2025-09-23,272.7,273.2962,269.265,272.24,5394121.0
2025-09-24,272.62,273.6499,267.3,267.53,3159924.0
2025-09-25,272.935,284.23,271.148,281.44,11506192.0
2025-09-26,280.51,288.85,280.11,284.31,9063938.0
2025-09-29,286.0,286.0,279.66,279.8,6022125.0
2025-09-30,280.88,286.025,280.52,282.16,5926924.0
2025-10-01,280.2,286.59,280.15,286.49,4381338.0
2025-10-02,285.79,288.54,282.79,286.72,3814232.0
2025-10-03,287.5,293.32,287.3,288.37,4375082.0
2025-10-06,288.61,291.45,287.8,289.42,2881947.0
2025-10-07,295.55,301.0425,293.285,293.87,7190126.0
2025-10-08,294.16,294.2,286.473,289.46,5297030.0
2025-10-09,289.82,290.13,283.32,288.23,4912375.0
2025-10-10,288.97,290.385,277.5,277.82,4508506.0
2025-10-13,279.79,282.4399,274.64,277.22,4333836.0
2025-10-14,275.52,277.53,272.5469,276.15,3058149.0
2025-10-15,278.38,285.45,277.0,280.75,3346753.0
2025-10-16,281.11,282.56,275.6,275.97,2956923.0
2025-10-17,276.15,283.4,275.35,281.28,5309565.0
2025-10-20,281.25,285.5,280.96,283.65,3494336.0
2025-10-21,283.31,285.31,281.6,282.05,4080981.0
2025-10-22,281.99,289.17,281.35,287.51,10538480.0
2025-10-23,264.95,285.5791,263.5623,285.0,16676394.0
2025-10-24,283.77,310.75,282.21,307.46,16914243.0
2025-10-27,307.8,313.5,302.88,313.09,9868151.0
2025-10-28,312.6,319.35,311.41,312.57,6044770.0
2025-10-29,312.79,314.33,307.52,308.21,4135948.0
2025-10-30,306.65,313.75,305.02,310.06,4694275.0
2025-10-31,312.0,313.5,301.63,307.41,7697499.0
2025-11-03,308.0,312.1411,304.23,304.73,4957958.0
