date,open,high,low,close,volume
2025-06-02,19.482,19.82,19.3745,19.74,67885473.0
2025-06-03,19.75,20.4099,19.4,20.29,80401865.0
2025-06-04,20.34,20.5,20.01,20.25,71166549.0
2025-06-05,20.27,20.55,19.85,19.99,72595606.0
2025-06-06,20.17,20.44,20.03,20.06,70072846.0
2025-06-09,20.22,20.96,20.22,20.48,92893898.0
2025-06-10,20.5,22.44,20.28,22.08,171457008.0
2025-06-11,21.78,21.83,20.38,20.68,146784468.0
2025-06-12,20.5,20.98,20.41,20.77,78175914.0
2025-06-13,20.33,20.6,20.1,20.14,87655889.0
2025-06-16,20.41,20.93,20.3,20.74,86745123.0
2025-06-17,20.63,21.48,20.62,20.8,87512156.0
2025-06-18,20.805,21.6,20.66,21.49,94200572.0
2025-06-20,21.7,21.885,20.88,21.08,133472814.0
2025-06-23,21.065,21.58,20.73,21.19,81460982.0
2025-06-24,21.34,22.69,21.325,22.55,130368742.0
2025-06-25,22.575,22.77,22.125,22.2,64975117.0
2025-06-26,22.4,22.6201,22.21,22.5,63229338.0
2025-06-27,22.71,23.38,22.42,22.69,95542384.0
2025-06-30,22.97,22.97,22.265,22.4,77102415.0
2025-07-01,22.325,23.155,22.2831,22.85,79094907.0
2025-07-02,22.525,22.77,21.52,21.88,138245252.0
2025-07-03,22.15,22.63,21.99,22.49,61175951.0
2025-07-07,22.205,22.39,21.86,22.0,80725235.0
2025-07-08,22.18,23.785,22.1323,23.59,119545462.0
2025-07-09,23.29,23.53,23.13,23.44,70247739.0
2025-07-10,23.63,24.04,23.48,23.82,54599844.0
2025-07-11,23.56,23.66,23.16,23.43,49367905.0
2025-07-14,23.24,23.4,22.88,23.3,48420516.0
2025-07-15,23.57,23.78,22.9,22.92,66099351.0
2025-07-16,22.99,23.13,22.25,22.69,58865893.0
2025-07-17,22.66,23.045,22.5902,22.8,49384037.0
2025-07-18,23.22,23.59,22.9,23.1,60195598.0
2025-07-21,23.4,23.83,23.16,23.26,61657989.0
2025-07-22,23.34,23.535,23.08,23.24,53969845.0
2025-07-23,23.255,23.62,22.92,23.49,68711715.0
2025-07-24,23.49,23.575,22.6,22.63,131963323.0
2025-07-25,20.675,21.045,20.36,20.7,245077682.0
2025-07-28,20.82,21.29,20.65,20.68,86105582.0
2025-07-29,20.69,20.845,20.34,20.41,100831524.0
2025-07-30,20.43,20.6199,20.08,20.34,67420330.0
2025-07-31,20.17,20.2288,19.66,19.8,90665198.0
2025-08-01,19.5,19.55,18.965,19.31,86496139.0
2025-08-04,19.515,19.59,19.35,19.5,69249371.0
2025-08-05,19.7,20.535,19.68,20.19,97338249.0
2025-08-06,20.12,20.48,19.87,20.41,67074217.0
2025-08-07,20.0,20.44,19.6,19.77,131382767.0
2025-08-08,20.0,20.02,19.61,19.95,75415017.0
2025-08-11,20.445,21.6,20.44,20.65,175545596.0
2025-08-12,21.2,21.86,20.76,21.81,134488173.0
2025-08-13,21.62,22.3,21.36,22.22,86024355.0
2025-08-14,21.99,24.2,21.9,23.86,188052460.0
2025-08-15,25.01,25.645,24.11,24.56,310161102.0
2025-08-18,24.0,24.9,23.21,23.66,212515617.0
2025-08-19,24.94,26.53,24.94,25.31,297659156.0
2025-08-20,24.9,24.933,23.3302,23.54,161149398.0
2025-08-21,23.525,23.57,22.775,23.5,97718294.0
2025-08-22,23.65,25.23,23.65,24.8,200266834.0
2025-08-25,25.5,25.88,24.44,24.55,156825631.0
2025-08-26,24.58,24.735,24.1,24.35,78558225.0
2025-08-27,24.19,24.99,24.05,24.85,90934420.0
2025-08-28,24.96,25.14,24.61,24.93,60035093.0
2025-08-29,24.76,24.97,24.28,24.35,63734417.0
2025-09-02,23.88,24.24,23.68,24.21,57661836.0
2025-09-03,24.09,24.0905,23.72,24.0,47822866.0
2025-09-04,23.85,24.64,23.75,24.61,59056496.0
2025-09-05,24.6,24.71,24.1701,24.49,55975270.0
2025-09-08,24.48,24.735,24.12,24.48,51122136.0
2025-09-09,24.53,24.805,24.27,24.44,42146182.0
2025-09-10,24.415,24.87,24.28,24.77,61600705.0
2025-09-11,24.76,24.93,24.57,24.61,55536921.0
2025-09-12,24.61,24.63,24.05,24.08,52672821.0
