date,open,high,low,close,volume
2025-06-02,127.48,128.47,126.36,128.4,3608056.0
2025-06-03,128.12,129.18,127.13,128.68,4145999.0
2025-06-04,128.84,129.42,128.16,128.16,3123273.0
2025-06-05,128.37,131.05,127.34,130.62,6194188.0
2025-06-06,132.08,133.57,130.82,131.82,5004465.0
2025-06-09,132.23,132.9,131.11,131.95,4838689.0
2025-06-10,131.6,132.46,131.15,131.82,3816898.0
2025-06-11,132.03,133.45,131.416,131.81,5810214.0
2025-06-12,130.66,132.0,129.8,131.92,4258742.0
2025-06-13,130.19,131.0688,128.81,129.49,4367616.0
2025-06-16,130.29,132.8,130.29,130.9,6240543.0
2025-06-17,129.84,131.17,129.66,130.09,4767744.0
2025-06-18,130.02,132.96,129.93,132.52,6170559.0
2025-06-20,133.35,133.37,131.91,132.71,8904389.0
2025-06-23,132.06,134.1,130.9,134.0,5232415.0
2025-06-24,135.68,136.68,135.01,135.9,5599881.0
2025-06-25,136.12,137.89,135.41,137.72,5736436.0
2025-06-26,138.01,140.195,137.84,139.75,6013633.0
2025-06-27,140.25,141.9,139.1,140.69,7249261.0
2025-06-30,141.51,141.85,139.55,140.86,8034434.0
2025-07-01,140.55,141.61,139.469,141.07,6166696.0
2025-07-02,141.615,142.88,140.98,142.86,5494497.0
2025-07-03,143.36,144.56,142.67,144.14,3974691.0
2025-07-07,144.11,145.16,142.495,143.74,5991623.0
2025-07-08,143.61,144.06,141.02,141.13,6620758.0
2025-07-09,142.9,142.94,140.9,141.55,4837192.0
2025-07-10,141.76,143.16,141.32,143.09,5623199.0
2025-07-11,141.86,142.45,141.12,142.28,3647479.0
2025-07-14,142.45,144.05,142.0,143.97,5376069.0
2025-07-15,143.29,144.0,141.55,141.59,7392239.0
2025-07-16,139.5,139.999,135.265,139.79,10610796.0
2025-07-17,139.26,141.69,139.1303,140.9,7695950.0
2025-07-18,141.45,141.75,140.2,140.83,5572322.0
2025-07-21,141.24,142.52,140.1839,140.47,5853541.0
2025-07-22,140.8,140.89,138.93,140.04,5257248.0
2025-07-23,140.775,142.629,139.93,142.21,6612879.0
2025-07-24,142.47,143.72,141.85,142.5,3817932.0
2025-07-25,142.92,143.375,142.05,143.01,3463310.0
2025-07-28,143.04,143.14,142.02,142.56,3729601.0
2025-07-29,143.5,144.05,142.1,143.56,5158704.0
2025-07-30,143.83,145.48,143.283,144.94,5236849.0
2025-07-31,143.2,144.7,142.0,142.46,5523673.0
2025-08-01,139.27,139.565,136.17,139.09,6678650.0
2025-08-04,140.18,141.78,139.7072,141.36,3851567.0
2025-08-05,141.66,142.71,139.41,140.46,5331220.0
2025-08-06,141.15,141.855,140.51,141.3,3765824.0
2025-08-07,142.23,142.71,140.6,140.92,3728729.0
2025-08-08,141.615,143.93,141.28,143.18,3943499.0
2025-08-11,143.565,144.19,142.6625,143.88,4024857.0
2025-08-12,145.07,148.225,144.8154,147.29,7111781.0
2025-08-13,148.145,149.08,145.39,147.76,5542369.0
2025-08-14,147.0,148.655,146.165,148.51,4188628.0
2025-08-15,148.63,148.81,144.46,144.63,4985971.0
2025-08-18,144.11,145.06,143.819,144.78,3548968.0
2025-08-19,144.49,144.97,143.42,144.07,4257909.0
2025-08-20,143.82,144.71,141.03,144.12,4619562.0
2025-08-21,143.41,144.45,142.9,144.04,3269421.0
2025-08-22,144.82,148.9,144.6701,148.02,6759745.0
2025-08-25,147.98,148.61,147.5714,147.65,2596476.0
2025-08-26,147.32,149.03,146.3,148.97,4454022.0
2025-08-27,148.37,150.12,148.03,149.38,3329209.0
2025-08-28,149.835,150.39,149.175,150.18,3898468.0
2025-08-29,149.89,150.75,149.13,150.48,3629438.0
2025-09-02,148.56,149.07,145.655,148.85,5330189.0
2025-09-03,148.81,149.55,146.94,148.53,4339040.0
2025-09-04,149.03,150.75,148.68,150.53,3954989.0
2025-09-05,151.12,151.86,146.285,148.09,5697479.0
