date,open,high,low,close,volume
2025-06-02,201.828,203.589,200.06,202.422,5012970.0
2025-06-03,202.364,203.25,201.1,202.176,5119425.0
2025-06-04,202.312,203.51,200.592,202.548,3589590.0
2025-06-05,205.462,206.288,202.834,203.52,4521670.0
2025-06-06,205.246,206.92,203.268,206.042,4798615.0
2025-06-09,206.2,206.89598,203.612,205.372,4538750.0
2025-06-10,204.228,205.372,199.824,201.958,5947685.0
2025-06-11,202.048,203.544,200.279,200.866,3714115.0
2025-06-12,200.52,203.208,200.52,201.474,4240895.0
2025-06-13,199.606,200.2,195.637,197.732,6662295.0
2025-06-16,198.4,203.394,198.276,201.026,6154400.0
2025-06-17,200.77,202.4,199.868,200.982,4099885.0
2025-06-18,200.888,201.408,195.84002,196.416,6047385.0
2025-06-20,197.118,197.201,193.09,194.282,10038540.0
2025-06-23,194.282,196.26598,191.36554,196.08,5499570.0
2025-06-24,198.0,199.9,197.0,199.264,7570090.0
2025-06-25,199.656,202.8,199.63,201.032,5968680.0
2025-06-26,201.436,202.712,198.9002,202.288,6022120.0
2025-06-27,202.556,206.606,202.414,204.484,7571680.0
2025-06-30,205.948,207.274,203.68944,205.616,5046545.0
2025-07-01,205.452,206.388,198.946,202.378,6221305.0
2025-07-02,200.074,202.207,198.4,201.952,4358635.0
2025-07-03,203.546,211.47798,203.0,208.938,6029430.0
2025-07-07,208.646,209.8,205.524,207.002,5668110.0
2025-07-08,207.436,207.754,202.25,204.596,7300975.0
2025-07-09,204.9,205.602,201.8,202.742,5768060.0
2025-07-10,202.74,202.74,193.062,193.618,10024500.0
2025-07-11,192.0,193.2,186.834,187.756,10773665.0
2025-07-14,187.74,192.86798,187.028,192.356,9063740.0
2025-07-15,193.054,194.868,191.2,191.384,6321375.0
2025-07-16,193.012,193.818,190.676,193.394,4925720.0
2025-07-17,193.698,195.0,191.0,191.83,6378065.0
2025-07-18,191.61,192.703,189.946,192.68,5778790.0
2025-07-21,191.906,193.81942,191.6,191.982,5563860.0
2025-07-22,192.756,194.792,191.368,192.474,5878685.0
2025-07-23,189.572,193.37,189.572,191.286,9920150.0
2025-07-24,206.932,210.2,196.4,199.236,20350260.0
2025-07-25,200.024,200.2,192.81626,193.758,9998140.0
2025-07-28,195.2,199.208,195.196,197.15,7374005.0
2025-07-29,198.306,201.15,196.456,198.64,6038695.0
2025-07-30,198.318,198.605,194.6,195.496,5470860.0
2025-07-31,196.4,196.4,188.012,188.624,10659520.0
2025-08-01,187.458,187.458,181.897,182.874,9055625.0
2025-08-04,183.703,185.91694,183.052,184.6,6427550.0
2025-08-05,184.4,185.1,180.89,181.024,7242325.0
2025-08-06,182.32,182.61,180.566,182.462,5342810.0
2025-08-07,184.4,184.577,172.4,174.824,13993435.0
2025-08-08,175.678,176.4,172.428,174.502,9514095.0
2025-08-11,173.584,175.9958,170.179,171.274,11848975.0
2025-08-12,171.562,171.946,168.006,170.686,14351995.0
2025-08-13,172.114,172.88012,168.54,172.66,12267840.0
2025-08-14,171.232,172.596,169.26802,170.172,8941340.0
2025-08-15,170.354,173.588,169.724,173.448,8794060.0
2025-08-18,173.29,178.448,173.074,178.41,12886925.0
2025-08-19,178.68,180.182,176.19146,177.356,10921115.0
2025-08-20,176.852,179.778,176.0,178.05,9859550.0
2025-08-21,177.186,177.675,174.614,175.394,5634945.0
2025-08-22,175.668,179.276,174.6,177.35,5421930.0
2025-08-25,177.941,178.034,175.738,175.988,4306460.0
2025-08-26,175.8,176.0,171.016,172.932,13418480.0
2025-08-27,174.334,177.922,173.64,177.596,6011180.0
2025-08-28,178.1,187.156,177.948,185.72,15217980.0
2025-08-29,185.852,186.798,181.942,183.492,9409955.0
2025-09-02,180.354,182.849,178.9272,182.284,6239655.0
2025-09-03,181.798,184.268,178.902,183.876,6690565.0
2025-09-04,181.896,182.045,175.638,179.712,8519555.0
2025-09-05,180.83,183.24,180.27,182.76,6419255.0
2025-09-08,183.028,188.964,182.511,187.866,8181905.0
2025-09-09,189.0,189.0,185.56,186.734,5988060.0
2025-09-10,187.2,188.984,183.866,184.714,8242845.0
2025-09-11,185.544,188.534,184.729,187.656,5866210.0
2025-09-12,188.346,188.37,185.386,185.792,3556085.0
2025-09-15,186.09,191.234,185.946,189.484,7731365.0
2025-09-16,188.142,189.287,185.694,186.402,6502380.0
2025-09-17,187.35,190.753,186.65,190.074,6422955.0
2025-09-18,191.31,192.407,188.102,189.548,7455445.0
2025-09-19,190.37,193.148,190.0,192.23,14036025.0
2025-09-22,190.778,191.35,186.182,189.556,6040030.0
2025-09-23,189.512,190.1,185.29,185.534,7035190.0
2025-09-24,192.528,194.726,186.22,186.674,10111345.0
2025-09-25,185.49,185.637,182.092,183.722,5944965.0
2025-09-26,183.938,187.628,183.34,187.2,4457870.0
2025-09-29,188.412,190.912,187.848,188.17,5115990.0
2025-09-30,187.82,188.329,180.9,184.056,7078105.0
2025-10-01,184.188,187.0,178.45078,182.486,9149710.0
2025-10-02,182.334,183.01,179.108,182.02,7561195.0
2025-10-03,182.73,183.94,181.666,182.472,5833260.0
2025-10-06,180.804,185.952,179.108,182.568,6440820.0
2025-10-07,182.8,183.159,178.672,180.848,5974455.0
2025-10-08,182.0,184.068,181.466,182.864,5452820.0
2025-10-09,180.78,183.93,178.746,183.59,5196950.0
2025-10-10,184.0,185.6,177.461,177.742,7019555.0
2025-10-13,179.408,185.152,178.532,184.74,5926670.0
2025-10-14,181.47,184.854,179.473,182.252,4396155.0
2025-10-15,183.6,184.42,179.94,180.61,3817100.0
2025-10-16,182.794,185.8,177.614,178.898,5392170.0
2025-10-17,178.0,181.306,177.59,180.72,4200455.0
2025-10-20,181.328,184.404,181.27,183.51,5358615.0
2025-10-21,183.5,188.888,182.056,188.3,6301205.0
2025-10-22,188.358,189.59998,185.58,187.13,6075230.0
2025-10-23,186.238,188.9166,185.6,187.834,4223260.0
2025-10-24,189.15,190.0,185.776,186.034,5355085.0
2025-10-27,188.814,190.338,187.402,189.258,5735105.0
2025-10-28,189.862,190.2,187.582,187.582,4724660.0
2025-10-29,186.908,186.908,182.02,182.34,13433755.0
2025-10-30,185.346,192.96598,179.385,186.936,15203200.0
2025-10-31,188.642,189.53,180.664,183.856,11873370.0
2025-11-03,184.428,184.428,177.204,182.768,8732825.0
2025-11-04,180.0,181.726,175.31,177.514,9724680.0
2025-11-05,178.334,178.524,174.46,175.926,7603760.0
2025-11-06,174.95,175.8,170.002,171.754,10231000.0
2025-11-07,170.268,172.62,168.11,172.374,8162490.0
2025-11-10,172.772,173.72,170.234,173.26,7045360.0
2025-11-11,172.686,174.13,171.866,172.134,5176825.0
2025-11-12,173.742,174.0,169.834,172.808,7603600.0
2025-11-13,170.476,172.5999,168.796,169.938,8147030.0
2025-11-14,168.398,173.063,167.8092,170.086,5917305.0
2025-11-17,169.384,170.696,165.642,167.158,5700750.0
2025-11-18,165.416,166.99998,162.321,163.594,7640335.0
2025-11-19,163.332,164.228,161.513,163.29,9576840.0
2025-11-20,166.1,166.338,159.456,160.092,8095580.0
2025-11-21,160.46,163.922,159.0,162.686,7353910.0
2025-11-24,162.68,163.898,160.76112,163.168,8947035.0
2025-11-25,162.474,166.18,162.2,165.062,7279940.0
2025-11-26,163.45,164.404,159.968,160.544,10035270.0
2025-11-28,161.6,162.8,161.002,162.482,4520350.0
2025-12-01,160.334,165.214,159.8,164.414,6934225.0
2025-12-02,165.724,166.685,164.8,164.876,6551620.0
2025-12-03,164.4,166.596,162.692,166.58,4619730.0
2025-12-04,168.2,169.3,166.138,167.774,5550200.0
2025-12-05,168.166,172.3,167.602,170.872,6472870.0
2025-12-08,170.848,174.395,170.086,170.704,7741080.0
2025-12-09,170.522,172.2,169.8,170.982,4896120.0
2025-12-10,170.114,172.331,169.11,170.712,8460455.0
2025-12-11,170.6,175.0,170.224,173.498,7038740.0
2025-12-12,173.478,174.926,171.582,173.012,7495155.0
2025-12-15,159.6,160.68,152.106,153.04,29629125.0
2025-12-16,154.894,157.2146,153.914,156.224,16672575.0
2025-12-17,157.0,161.932,156.29,156.478,11774455.0
2025-12-18,156.51,157.7799,151.15,153.38,9644020.0
2025-12-19,152.97,156.16,152.54,155.31,25257483.0
2025-12-22,156.86,157.155,153.15,156.68,11120320.0
2025-12-23,155.5,156.09,151.63,154.36,12572497.0
2025-12-24,153.5,153.9436,152.01,152.59,3896794.0
2025-12-26,152.5,154.48,152.21,153.89,5450461.0
2025-12-29,153.07,155.694,152.79,154.58,7157749.0
2025-12-30,153.85,154.69,153.25,154.23,5110624.0
2025-12-31,153.99,154.54,152.68,153.19,5256089.0
2026-01-02,153.08,153.2,145.64,147.45,9896627.0
2026-01-05,146.51,149.81,145.79,147.6,9854884.0
2026-01-06,147.42,149.57,146.7,148.81,6428186.0
2026-01-07,148.0,152.11,147.7512,150.9,6195552.0
2026-01-08,149.94,150.3,146.18,146.19,7426050.0
2026-01-09,147.35,147.35,141.43,141.8,11845425.0
