date,open,high,low,close,volume
2025-06-02,23.54,23.56,23.2219,23.46,30443927.0
2025-06-03,23.38,23.54,23.06,23.35,37887102.0
2025-06-04,23.41,23.54,23.35,23.39,24500119.0
2025-06-05,23.44,23.44,23.08,23.12,33199874.0
2025-06-06,23.27,23.58,23.245,23.35,30426242.0
2025-06-09,23.44,24.14,23.42,23.97,42542644.0
2025-06-10,23.97,24.42,23.96,24.3,40439206.0
2025-06-11,24.33,24.69,24.32,24.48,38558667.0
2025-06-12,24.53,24.88,24.53,24.84,42465423.0
2025-06-13,24.785,24.95,24.46,24.54,46368359.0
2025-06-16,24.5,24.59,24.28,24.4,35102135.0
2025-06-17,24.27,24.32,23.91,24.0,40408779.0
2025-06-18,23.96,24.08,23.77,23.88,37076206.0
2025-06-20,24.0,24.09,23.77,23.97,63098137.0
2025-06-23,23.87,24.085,23.765,24.03,31959082.0
2025-06-24,24.14,24.4,24.11,24.31,34198069.0
2025-06-25,24.21,24.37,24.07,24.26,25603316.0
2025-06-26,24.315,24.43,24.16,24.24,31835340.0
2025-06-27,24.35,24.42,24.08,24.19,39528753.0
2025-06-30,24.21,24.38,24.12,24.24,44730910.0
2025-07-01,24.275,25.35,24.26,25.04,59259857.0
2025-07-02,25.13,25.36,25.025,25.32,36772093.0
2025-07-03,25.35,25.52,25.2212,25.38,27104580.0
2025-07-07,25.36,25.53,25.14,25.24,34905924.0
2025-07-08,25.24,25.96,25.21,25.62,51275809.0
2025-07-09,25.69,25.8399,25.34,25.56,38362230.0
2025-07-10,25.58,26.05,25.535,25.78,39499242.0
2025-07-11,25.65,25.715,25.42,25.65,34864397.0
2025-07-14,25.58,25.63,25.34,25.35,25918049.0
2025-07-15,25.335,25.44,24.53,24.61,54457964.0
2025-07-16,24.675,24.96,24.53,24.61,44218214.0
2025-07-17,24.49,24.78,24.45,24.58,47393884.0
2025-07-18,24.71,24.78,24.39,24.47,36309403.0
2025-07-21,24.59,24.65,24.255,24.26,33663379.0
2025-07-22,24.37,25.14,24.34,25.14,48091579.0
2025-07-23,25.38,25.53,25.25,25.36,42073286.0
2025-07-24,25.39,25.54,25.26,25.35,25672379.0
2025-07-25,24.97,24.97,24.62,24.79,35643442.0
2025-07-28,24.675,24.73,24.235,24.31,31096625.0
