date,open,high,low,close,volume
2025-06-02,83.275,85.3,83.19,85.19,8258866.0
2025-06-03,85.065,87.49,84.4,86.6,8287651.0
2025-06-04,86.63,88.54,86.0201,88.11,8740890.0
2025-06-05,88.18,88.41,86.86,86.99,8479357.0
2025-06-06,88.4,89.89,88.24,89.64,8772872.0
2025-06-09,89.08,91.14,89.08,90.67,8097257.0
2025-06-10,89.9,91.89,89.53,91.43,6911110.0
2025-06-11,92.11,95.91,92.0,95.39,14835493.0
2025-06-12,94.68,95.07,93.965,94.32,7183303.0
2025-06-13,93.5,94.61,93.16,93.26,7119922.0
2025-06-16,93.98,94.43,92.9412,93.48,5871048.0
2025-06-17,93.16,93.21,90.785,91.59,6183009.0
2025-06-18,91.88,92.58,91.23,92.23,7319258.0
2025-06-20,93.08,93.8,92.4,93.12,9197029.0
2025-06-23,93.2,93.21,90.74,92.34,7532996.0
2025-06-24,92.905,93.84,90.31,91.5,11373852.0
2025-06-25,91.755,92.0,90.6181,91.1,6929643.0
2025-06-26,92.1,92.2,90.42,91.84,6571647.0
2025-06-27,91.77,92.72,90.33,92.11,21491637.0
2025-06-30,92.42,94.16,91.08,91.63,10083274.0
2025-07-01,91.54,95.86,91.54,94.92,9828404.0
2025-07-02,95.28,95.3,93.35,94.18,7942282.0
2025-07-03,94.2,94.65,93.76,94.44,3557273.0
2025-07-07,94.16,94.945,92.97,93.64,5311175.0
2025-07-08,94.06,95.75,93.78,94.94,6985665.0
2025-07-09,97.55,97.89,94.655,95.25,8322429.0
2025-07-10,94.88,95.735,93.55,95.15,6916235.0
2025-07-11,94.37,95.32,94.14,94.94,6339762.0
2025-07-14,93.68,93.9624,92.27,93.42,6048282.0
2025-07-15,93.62,94.3,92.15,92.48,8567878.0
2025-07-16,92.66,93.28,91.56,92.51,7136905.0
2025-07-17,90.73,93.285,90.57,93.19,8588994.0
2025-07-18,94.04,94.4599,93.25,93.8,5173102.0
2025-07-21,94.3,95.29,92.61,92.66,7217334.0
2025-07-22,92.95,97.16,92.85,96.94,9992365.0
2025-07-23,97.345,98.18,95.535,95.92,11275280.0
2025-07-24,95.5,95.58,93.42,93.7,7897596.0
2025-07-25,93.4,94.48,92.31,94.42,7224105.0
2025-07-28,94.93,95.74,93.46,93.67,10333593.0
2025-07-29,93.25,94.39,91.775,92.96,20923551.0
2025-07-30,97.825,98.89,90.07,92.76,44794727.0
2025-07-31,91.6,93.065,88.43,89.16,16565418.0
2025-08-01,88.39,88.495,85.49,86.86,16221314.0
2025-08-04,87.075,90.1093,86.94,89.78,12500416.0
2025-08-05,89.65,90.56,89.31,90.2,6994419.0
2025-08-06,90.21,90.36,88.8201,88.99,7869144.0
2025-08-07,89.73,91.355,89.49,91.02,9891846.0
2025-08-08,90.77,92.205,90.75,92.12,8035260.0
2025-08-11,92.04,92.44,90.49,91.74,9504432.0
2025-08-12,93.438,94.85,93.08,93.37,9674537.0
2025-08-13,93.18,94.685,92.7403,94.18,6493412.0
2025-08-14,93.61,93.61,92.0822,93.06,9803502.0
2025-08-15,92.545,92.73,90.37,90.6,8059740.0
2025-08-18,90.305,93.5786,89.9,92.54,7376166.0
2025-08-19,92.54,92.97,90.73,90.93,6815840.0
2025-08-20,90.96,91.32,89.45,89.51,5813990.0
2025-08-21,89.03,89.1876,88.11,88.56,5669196.0
2025-08-22,89.125,89.85,88.305,88.38,7625496.0
2025-08-25,88.22,88.3163,85.71,85.81,11013472.0
2025-08-26,85.885,87.2,85.57,86.63,9315246.0
2025-08-27,86.63,88.31,86.5,87.66,7677919.0
2025-08-28,88.22,88.46,87.6,88.02,7905597.0
2025-08-29,88.0,88.57,87.4,88.19,6315238.0
2025-09-02,87.835,89.99,87.18,89.78,10466189.0
2025-09-03,89.4,89.48,86.29,87.25,10201030.0
2025-09-04,87.17,87.77,86.39,87.01,6799210.0
2025-09-05,86.86,87.35,85.06,85.43,9047219.0
2025-09-08,85.5,85.5,83.68,84.17,9213687.0
2025-09-09,84.195,84.68,83.27,83.81,8635773.0
2025-09-10,83.865,84.0,82.77,82.88,8108045.0
2025-09-11,83.29,83.93,82.13,82.36,12046575.0
2025-09-12,82.37,82.5428,81.2,81.9,9996157.0
2025-09-15,82.08,83.87,81.98,82.68,9685897.0
2025-09-16,83.03,84.73,83.0,84.37,10244263.0
2025-09-17,84.475,84.855,82.9601,83.22,6632238.0
2025-09-18,83.14,83.6,82.63,83.42,7163732.0
2025-09-19,84.13,85.22,83.3827,84.56,15315904.0
2025-09-22,84.23,85.395,83.69,85.29,7881720.0
2025-09-23,85.15,86.18,84.85,85.69,8765503.0
2025-09-24,85.58,85.645,84.13,84.27,9663999.0
2025-09-25,84.535,84.67,82.89,83.83,8670515.0
2025-09-26,83.85,84.62,82.9,83.39,6955543.0
2025-09-29,83.65,85.84,83.55,85.64,11222757.0
2025-09-30,85.23,85.25,84.175,84.6,7574244.0
2025-10-01,84.46,85.14,83.96,84.4,8155190.0
2025-10-02,84.25,87.26,84.03,86.72,9461533.0
2025-10-03,86.5,86.9029,85.96,86.42,7634500.0
2025-10-06,86.29,86.29,82.06,82.11,14996697.0
2025-10-07,82.16,82.46,80.79,81.29,10070067.0
2025-10-08,81.125,81.13,79.93,80.04,12397713.0
2025-10-09,80.12,80.46,79.4302,79.78,9075650.0
2025-10-10,79.66,81.21,78.41,78.46,11129780.0
2025-10-13,78.85,80.44,78.51,80.03,8052044.0
2025-10-14,79.25,81.48,79.03,81.15,7510256.0
2025-10-15,81.7,83.32,81.57,82.86,11094293.0
2025-10-16,83.2,84.89,83.04,84.34,11552088.0
2025-10-17,84.25,85.94,84.02,85.36,8527648.0
2025-10-20,85.685,86.34,84.43,84.53,7679667.0
2025-10-21,84.14,86.51,83.65,85.9,8262493.0
2025-10-22,85.76,86.0,84.9,85.5,5286258.0
2025-10-23,85.48,85.9,84.98,85.44,4565508.0
2025-10-24,86.095,86.84,85.86,86.09,5844597.0
2025-10-27,86.28,87.4399,86.11,87.22,7164584.0
2025-10-28,86.9,87.54,85.31,85.43,11545601.0
2025-10-29,84.14,84.89,83.2841,84.17,13881660.0
2025-10-30,82.225,86.05,81.25,83.15,18337516.0
2025-10-31,82.765,82.7848,80.2209,80.87,13598049.0
2025-11-03,80.925,81.92,80.6,80.96,9525082.0
2025-11-04,81.175,81.1999,77.99,79.6,17774636.0
2025-11-05,79.6,83.11,79.04,82.88,17996243.0
2025-11-06,82.565,83.85,81.86,82.22,10382797.0
2025-11-07,82.34,85.945,81.76,85.57,15009922.0
2025-11-10,86.06,86.15,84.03,84.6,10507558.0
2025-11-11,84.98,87.04,84.9,86.42,9575823.0
2025-11-12,87.63,89.055,87.13,87.26,11975824.0
2025-11-13,86.76,87.29,86.185,86.44,10507675.0
2025-11-14,85.61,86.5,84.0,84.78,13434614.0
2025-11-17,85.19,86.85,83.45,83.69,8547244.0
2025-11-18,83.61,83.84,82.34,83.33,7189392.0
2025-11-19,83.26,84.39,83.03,83.68,6195147.0
2025-11-20,84.025,85.23,82.54,82.62,8966338.0
2025-11-21,82.52,86.58,82.52,85.35,10227670.0
2025-11-24,85.26,85.59,82.83,83.34,10805830.0
2025-11-25,82.83,86.02,82.82,85.91,9265302.0
2025-11-26,85.5,87.29,85.5,86.7,7602581.0
2025-11-28,87.03,87.28,86.4,87.11,3677642.0
2025-12-01,86.21,86.5044,84.77,84.91,8752137.0
2025-12-02,85.03,86.0,84.22,85.2,9001910.0
2025-12-03,85.03,87.495,84.97,87.11,9303938.0
2025-12-04,87.3,87.87,84.745,85.0,10555103.0
2025-12-05,84.91,86.51,84.8039,85.12,9402927.0
2025-12-08,85.13,85.5,83.14,83.41,10277591.0
2025-12-09,83.32,83.33,82.02,82.28,10322876.0
2025-12-10,82.21,84.0,81.97,83.85,10539603.0
2025-12-11,84.22,85.0,83.735,84.74,6893969.0
2025-12-12,85.11,85.925,84.86,85.35,9071499.0
2025-12-15,86.0,87.56,84.66,85.4,11718593.0
2025-12-16,85.64,86.54,84.72,85.08,7481392.0
2025-12-17,84.57,85.829,84.5,85.21,7947026.0
2025-12-18,87.689,90.575,87.3,89.42,16466099.0
2025-12-19,89.215,89.26,88.25,88.33,16986660.0
2025-12-22,88.16,88.62,86.04,86.17,7161621.0
2025-12-23,86.02,86.14,83.38,83.86,9511322.0
2025-12-24,83.84,84.615,83.47,84.57,3462748.0
2025-12-26,84.58,85.155,84.42,85.08,5046220.0
2025-12-29,85.12,86.7895,84.98,85.57,5352446.0
2025-12-30,85.24,85.75,85.05,85.25,4540473.0
2025-12-31,85.11,85.18,84.12,84.21,5293385.0
2026-01-02,84.22,84.96,83.02,83.97,11334890.0
2026-01-05,83.5,87.25,83.4,86.56,9894301.0
2026-01-06,86.56,90.64,86.36,89.46,11351096.0
2026-01-07,89.02,89.38,86.47,86.69,9546961.0
2026-01-08,85.86,89.29,85.61,88.18,8140135.0
2026-01-09,88.35,89.1,86.79,88.88,7593162.0
2026-01-12,88.4,90.23,87.6,89.96,7289488.0
2026-01-13,89.69,90.6,89.4706,90.56,5561860.0
2026-01-14,90.26,91.52,90.15,91.15,8373230.0
2026-01-15,92.071,94.17,91.64,93.28,10001665.0
2026-01-16,93.36,93.67,92.22,92.99,8958234.0
2026-01-20,91.76,93.81,90.78,93.66,13555205.0
2026-01-21,93.815,96.52,93.7308,96.43,17118139.0
2026-01-22,96.47,97.8,94.86,95.83,14150762.0
2026-01-23,97.095,97.89,95.76,97.62,11759837.0
2026-01-26,97.21,97.97,95.79,96.33,14106671.0
2026-01-27,95.77,96.645,95.235,95.72,16403589.0
2026-01-28,102.3,104.82,95.1,95.16,25961583.0
2026-01-29,96.76,96.9,92.61,93.88,16602870.0
2026-01-30,92.72,93.21,91.0,91.95,10747970.0
