date,open,high,low,close,volume
2025-06-02,218.78,220.0,217.39,218.89,4587007.0
2025-06-03,217.84,222.37,217.56,221.78,6229422.0
2025-06-04,221.85,222.17,219.36,220.87,3977099.0
2025-06-05,220.95,221.76,219.4,220.65,3084620.0
2025-06-06,222.97,224.16,222.15,223.43,2953422.0
2025-06-09,223.97,225.26,223.25,224.14,3128604.0
2025-06-10,224.5,229.2,223.3584,226.6,3122241.0
2025-06-11,227.02,227.02,224.63,225.72,2655326.0
2025-06-12,224.57,225.49,223.5108,225.49,1939234.0
2025-06-13,223.68,225.47,222.77,223.37,1670104.0
2025-06-16,224.04,226.19,223.77,224.65,2659554.0
2025-06-17,223.77,224.005,219.6505,220.59,2767982.0
2025-06-18,220.98,222.135,220.2539,222.01,2414525.0
2025-06-20,222.61,223.78,221.205,222.51,4274310.0
2025-06-23,222.43,225.97,221.82,225.88,2665282.0
2025-06-24,227.55,228.03,225.84,227.91,2777100.0
2025-06-25,226.91,227.0,225.47,226.81,2005380.0
2025-06-26,227.42,230.24,226.865,229.39,2960165.0
2025-06-27,229.07,231.68,229.07,231.41,7430669.0
2025-06-30,230.94,232.0,229.81,230.08,3578993.0
2025-07-01,229.62,237.11,229.425,235.57,2687505.0
2025-07-02,236.26,237.405,234.5081,237.16,1752165.0
2025-07-03,237.69,239.19,236.28,236.28,1327641.0
2025-07-07,235.73,237.51,233.83,235.35,2580926.0
2025-07-08,235.05,238.861,234.31,236.54,2574398.0
2025-07-09,237.33,238.48,236.2,236.49,2432793.0
2025-07-10,237.17,240.74,235.59,237.0,2630096.0
2025-07-11,235.62,236.29,234.07,235.1,3211740.0
2025-07-14,234.08,234.86,231.4,233.31,1973508.0
2025-07-15,233.04,234.01,231.04,231.14,2419461.0
2025-07-16,232.0,232.935,229.701,231.18,2356517.0
2025-07-17,227.5,230.34,226.75,227.49,5211346.0
2025-07-18,228.42,228.42,222.34,224.87,5794541.0
2025-07-21,225.97,227.32,224.9201,225.85,2814103.0
2025-07-22,226.78,230.53,226.0,229.24,3806436.0
2025-07-23,229.44,231.16,227.31,231.0,3740138.0
2025-07-24,226.0,230.66,219.21,220.52,9784422.0
2025-07-25,223.075,226.28,221.1735,224.74,8254883.0
2025-07-28,225.22,230.97,224.82,229.24,6858391.0
2025-07-29,226.39,230.38,219.13,223.77,19090956.0
2025-07-30,225.85,226.57,222.505,225.28,8361560.0
2025-07-31,222.48,223.78,220.8,221.97,5547202.0
2025-08-01,220.55,220.83,218.63,219.4,4637470.0
2025-08-04,219.87,223.4,219.63,222.06,4181104.0
2025-08-05,222.73,223.4,221.59,222.97,2430049.0
2025-08-06,223.87,226.29,222.42,225.46,3135691.0
2025-08-07,227.17,228.41,222.1,222.66,3113727.0
2025-08-08,222.88,224.455,222.11,222.24,2345563.0
2025-08-11,222.7,223.77,218.69,219.65,4419756.0
2025-08-12,220.31,221.21,218.18,218.8,3224377.0
2025-08-13,219.44,223.5,218.515,223.18,3096793.0
2025-08-14,222.17,222.39,219.3,221.52,6245682.0
2025-08-15,223.27,223.66,220.41,220.78,3739259.0
2025-08-18,220.695,221.39,218.91,220.08,3188447.0
2025-08-19,220.92,225.015,220.06,223.77,4899316.0
2025-08-20,225.0,226.875,224.435,225.68,4521558.0
2025-08-21,225.48,226.18,223.53,225.3,3435511.0
2025-08-22,226.69,231.32,222.18,227.85,5317331.0
2025-08-25,228.23,228.95,221.13,223.32,5993077.0
2025-08-26,222.56,222.99,220.36,222.74,3757977.0
2025-08-27,222.5,223.0,220.41,220.95,3465070.0
2025-08-28,224.27,224.86,220.84,222.35,6299537.0
2025-08-29,221.4,223.71,221.2,223.57,5012813.0
2025-09-02,222.21,222.77,219.34,221.99,3955402.0
2025-09-03,221.42,222.5,218.75,221.76,5881039.0
2025-09-04,222.66,223.48,220.51,223.06,3601030.0
2025-09-05,222.17,223.17,218.87,220.31,4001774.0
2025-09-08,219.32,220.1,216.265,217.26,4131286.0
2025-09-09,217.475,218.63,215.65,216.05,3111549.0
2025-09-10,215.0,216.07,210.84,215.19,5004830.0
2025-09-11,214.77,216.78,214.16,216.04,4126743.0
2025-09-12,215.18,216.28,213.89,214.91,6207378.0
2025-09-15,216.01,217.06,214.32,216.25,4484437.0
2025-09-16,218.44,219.02,215.435,216.0,4426303.0
2025-09-17,216.31,219.67,216.13,217.17,4797747.0
2025-09-18,217.475,220.55,216.78,220.36,4349458.0
2025-09-19,221.66,221.66,219.22,220.61,8632137.0
2025-09-22,220.645,228.9999,219.25,225.85,8136041.0
2025-09-23,225.85,229.0,225.445,227.98,5183346.0
2025-09-24,229.33,232.055,228.39,230.36,5925927.0
2025-09-25,231.05,232.5,230.4795,232.0,6034414.0
2025-09-26,232.02,235.5,231.79,235.2,4941083.0
2025-09-29,235.75,237.355,235.0901,236.18,5097566.0
2025-09-30,237.0,237.0,234.82,236.37,3797531.0
2025-10-01,235.92,237.25,234.0,234.74,3950880.0
2025-10-02,235.44,236.9899,233.52,234.52,3873443.0
2025-10-03,234.86,237.74,234.52,236.8,3176636.0
2025-10-06,237.0,238.232,235.5,237.41,3261115.0
2025-10-07,237.78,238.22,231.26,231.86,3024153.0
2025-10-08,230.18,233.74,229.22,232.65,3580295.0
2025-10-09,232.74,233.48,230.12,231.54,2331505.0
2025-10-10,232.55,233.855,225.22,225.45,2762655.0
2025-10-13,226.73,227.41,224.82,225.85,2079713.0
2025-10-14,223.92,227.85,223.33,227.08,2306258.0
2025-10-15,227.14,228.0,224.59,225.72,2483704.0
2025-10-16,226.27,227.5,223.22,224.04,2971572.0
2025-10-17,225.11,228.67,224.82,226.04,3237288.0
2025-10-20,226.66,229.21,225.8,227.3,2922060.0
2025-10-21,226.29,228.15,225.42,226.54,2727740.0
2025-10-22,226.99,228.85,225.21,225.24,3756772.0
2025-10-23,223.28,225.935,219.1,220.04,5148504.0
2025-10-24,220.51,221.27,215.995,216.61,4128970.0
2025-10-27,218.2,218.93,216.4,218.23,4692298.0
2025-10-28,218.36,220.91,217.56,217.59,2782721.0
2025-10-29,216.64,218.16,215.53,216.37,3588251.0
2025-10-30,216.05,220.3,215.702,218.83,2806927.0
